"","...1","ID_check","grupo","Comp2_Q1","Comp2_Q2","resultados_Comp","X49_attention_check","condicion_SELF_01","reward_2_01","dificultad_easy_01","esfuerzo_50_01","fallo_01","condicion_SELF_02","reward_6_02","dificultad_easy_02","esfuerzo_50_02","fallo_02","condicion_SELF_03","reward_10_03","dificultad_easy_03","esfuerzo_50_03","fallo_03","condicion_SELF_04","reward_2_04","dificultad_easy_04","esfuerzo_65_04","fallo_04","condicion_SELF_05","reward_6_05","dificultad_easy_05","esfuerzo_65_05","fallo_05","condicion_SELF_06","reward_10_06","dificultad_easy_06","esfuerzo_65_06","fallo_06","condicion_SELF_07","reward_2_07","dificultad_hard_07","esfuerzo_80_07","fallo_07","condicion_SELF_08","reward_6_08","dificultad_hard_08","esfuerzo_80_08","fallo_08","condicion_SELF_09","reward_10_09","dificultad_hard_09","esfuerzo_80_09","fallo_09","condicion_SELF_10","reward_2_10","dificultad_hard_10","esfuerzo_95_10","reward_10_12","reward_10_15","reward_10_18","reward_10_21","reward_10_24","reward_10_27","reward_10_30","reward_10_33","reward_10_36","reward_10_39","reward_10_42","reward_10_45","reward_10_48","fallo_10","condicion_SELF_11","reward_6_11","dificultad_hard_11","esfuerzo_95_11","fallo_11","condicion_SELF_12","dificultad_hard_12","esfuerzo_95_12","fallo_12","condicion_SELF_13","reward_2_13","dificultad_easy_13","esfuerzo_50_13","fallo_13","condicion_SELF_14","reward_6_14","dificultad_easy_14","esfuerzo_50_14","fallo_14","condicion_SELF_15","dificultad_easy_15","esfuerzo_50_15","fallo_15","condicion_SELF_16","reward_2_16","dificultad_easy_16","esfuerzo_65_16","fallo_16","condicion_SELF_17","reward_6_17","dificultad_easy_17","esfuerzo_65_17","fallo_17","condicion_SELF_18","dificultad_easy_18","esfuerzo_65_18","fallo_18","condicion_SELF_19","reward_2_19","dificultad_hard_19","esfuerzo_80_19","fallo_19","condicion_SELF_20","reward_6_20","dificultad_hard_20","esfuerzo_80_20","fallo_20","condicion_SELF_21","dificultad_hard_21","esfuerzo_80_21","fallo_21","condicion_SELF_22","reward_2_22","dificultad_hard_22","esfuerzo_95_22","fallo_22","condicion_SELF_23","reward_6_23","dificultad_hard_23","esfuerzo_95_23","fallo_23","condicion_SELF_24","dificultad_hard_24","esfuerzo_95_24","fallo_24","condicion_OTHER_25","reward_2_25","dificultad_easy_25","esfuerzo_50_25","fallo_25","condicion_OTHER_26","reward_6_26","dificultad_easy_26","esfuerzo_50_26","fallo_26","condicion_OTHER_27","dificultad_easy_27","esfuerzo_50_27","fallo_27","condicion_OTHER_28","reward_2_28","dificultad_easy_28","esfuerzo_65_28","fallo_28","condicion_OTHER_29","reward_6_29","dificultad_easy_29","esfuerzo_65_29","fallo_29","condicion_OTHER_30","dificultad_easy_30","esfuerzo_65_30","fallo_30","condicion_OTHER_31","reward_2_31","dificultad_hard_31","esfuerzo_80_31","fallo_31","condicion_OTHER_32","reward_6_32","dificultad_hard_32","esfuerzo_80_32","fallo_32","condicion_OTHER_33","dificultad_hard_33","esfuerzo_80_33","fallo_33","condicion_OTHER_34","reward_2_34","dificultad_hard_34","esfuerzo_95_34","fallo_34","condicion_OTHER_35","reward_6_35","dificultad_hard_35","esfuerzo_95_35","fallo_35","condicion_OTHER_36","dificultad_hard_36","esfuerzo_95_36","fallo_36","condicion_OTHER_37","reward_2_37","dificultad_easy_37","esfuerzo_50_37","fallo_37","condicion_OTHER_38","reward_6_38","dificultad_easy_38","esfuerzo_50_38","fallo_38","condicion_OTHER_39","dificultad_easy_39","esfuerzo_50_39","fallo_39","condicion_OTHER_40","reward_2_40","dificultad_easy_40","esfuerzo_65_40","fallo_40","condicion_OTHER_41","reward_6_41","dificultad_easy_41","esfuerzo_65_41","fallo_41","condicion_OTHER_42","dificultad_easy_42","esfuerzo_65_42","fallo_42","condicion_OTHER_43","reward_2_43","dificultad_hard_43","esfuerzo_80_43","fallo_43","condicion_OTHER_44","reward_6_44","dificultad_hard_44","esfuerzo_80_44","fallo_44","condicion_OTHER_45","dificultad_hard_45","esfuerzo_80_45","fallo_45","condicion_OTHER_46","reward_2_46","dificultad_hard_46","esfuerzo_95_46","fallo_46","condicion_OTHER_47","reward_6_47","dificultad_hard_47","esfuerzo_95_47","fallo_47","condicion_OTHER_48","dificultad_hard_48","esfuerzo_95_48","fallo_48"
"1",1,"3771","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"2",2,"4436","Vulnerable",NA,NA,0,NA,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,NA,2,2,2,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1.113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",3,"4336","Vulnerable",NA,NA,0,4,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,2,2,1,0,2,0,2,0,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,1,1,1,NA,2,2,2,NA,2,2,2,2,NA,0,0,0,0,NA,2,2,2,NA,0,0,0,0,NA,2,2,2,2,NA,1,1,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,2,2,2,2,NA,0,0,0,0,NA,2,2,2,NA,0,0,0,0,NA,1,1,1,1,NA,0,0,0,NA,2,2,2,2,NA,0,0,0,0,NA,2,2,2,NA,0,0,0,0,NA,1,1,1,1,1,0,0,0,NA
"4",4,"0849","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"5",5,"2411","Vulnerable",3,2,1,4,1,1,1,1,NA,1,1,1,1,1,0,0,0,0,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,2,2,2,2,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,2,2,2,2,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,2,2,2,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,0,0,0,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"6",6,"4883","Vulnerable",NA,NA,0,4,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2,1,1,1,0,1,0,1,2,0,1,2,0,NA,1,1,1,1,1,2,2,2,NA,2,2,2,2,1.112,0,0,0,0,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,2,2,2,2,1.113,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,0,0,0,NA,0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,0,0,0,NA,0,0,0,0,NA,2,2,2,2,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,1.115,0,0,0,0,NA,1,1,1,1,NA,0,0,0,NA,2,2,2,2,NA,0,0,0,0,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,2,2,2,NA,2,2,2,2,NA,2,2,2,2,NA,0,0,0,NA
"7",7,"7047","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,0,0,0,0,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,NA
"8",8,"1423","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"9",9,"9585","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA
"10",10,"8228","Vulnerable",NA,NA,0,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,2,2,2,2,NA,2,2,2,2,NA,1,1,1,NA,2,2,2,2,NA,2,2,2,2,NA,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,NA,2,2,2,2,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,2,2,2,2,NA,1,1,1,NA,2,2,2,2,NA,2,2,2,2,NA,2,2,2,NA,1,1,1,1,NA,1,1,1,1,NA,2,2,2,NA
